step,time,dt,kinetic_energy,strain_energy,dissipation_rate,integrated_dissipation,total_energy
1,0.0,0.001,0.025515380769262526,8.290073168832897e-07,0.0086844363423795,8.6844363423795e-06,0.02552489421292179
20,0.01900000000000001,0.001,0.02523154723486828,0.0001660308712463302,0.007872460961299786,0.00016115894349121718,0.025558737049605828
40,0.03900000000000003,0.001,0.02461646924143495,0.0006896295979542533,0.007657548851498965,0.00031613418873454284,0.025622233028123748
60,0.059000000000000045,0.001,0.023743623630637825,0.0013741221787569443,0.007547571413852691,0.00046808317047755557,0.025585828979872327
80,0.07900000000000006,0.001,0.02268616910756138,0.0022893875510795014,0.007426862424554711,0.0006177910428213059,0.025593347701462186
100,0.09900000000000007,0.001,0.021532345594962702,0.003431988481020477,0.007464649690136018,0.0007662704335787524,0.02573060450956193
120,0.11900000000000009,0.001,0.02037355159547135,0.004480502870562599,0.007744223471883758,0.0009180163754608018,0.02577207084149475
140,0.1390000000000001,0.001,0.019307275313143368,0.005406009871064155,0.00830939609221465,0.0010788212366182842,0.025792106420825807
160,0.1590000000000001,0.001,0.018410749434704544,0.006393040755903328,0.009008844483870371,0.0012519166291361573,0.02605570681974403
180,0.17900000000000013,0.001,0.01774958474698876,0.00689977056374511,0.010004463788224227,0.0014421024344187549,0.026091457745152626
200,0.19900000000000015,0.001,0.017365726365318603,0.007220272249118491,0.01148788126720877,0.001656936946305762,0.026242935560742857
220,0.21900000000000017,0.001,0.017258139726301375,0.0070625589185657495,0.013229704432029794,0.0019046589082916793,0.026225357553158805
240,0.23900000000000018,0.001,0.0174020772853787,0.006726992106468622,0.015340321706703868,0.002190007824169935,0.026319077216017256
260,0.2590000000000002,0.001,0.017749765168106026,0.005797032879954327,0.01749371136253706,0.0025186673467632527,0.026065465394823607
280,0.2790000000000002,0.001,0.018216541908815418,0.004955184533701589,0.019431802660140912,0.002889610405830185,0.026061336848347192
300,0.2990000000000002,0.001,0.018714374819637832,0.004070815067714995,0.021048051460025113,0.0032954401318398495,0.026080630019192676
320,0.31900000000000023,0.001,0.01917361475260873,0.0031087073493801997,0.022462094941004346,0.0037317289408133566,0.02601405104280229
340,0.33900000000000025,0.001,0.019512494238717204,0.002400537294182573,0.023588793665996848,0.004192755106836684,0.02610578663973646
360,0.35900000000000026,0.001,0.019712577838014722,0.0019334602444430766,0.024764072038103987,0.004677661491334434,0.02632369957379223
380,0.3790000000000003,0.001,0.019720622861610113,0.0014706349284124398,0.025175198872425305,0.005177926480398164,0.026369184270420717
400,0.3990000000000003,0.001,0.01952785214974537,0.0014580707230178883,0.02501833317429358,0.005680163701290151,0.026666086574053408
420,0.4190000000000003,0.001,0.01915368139102632,0.0015396076217187484,0.024279478149111057,0.00617420555376084,0.02686749456650591
440,0.43900000000000033,0.001,0.01861441509314604,0.0019094378224574588,0.02293981699032082,0.00664620892913352,0.027170061844737022
460,0.45900000000000035,0.001,0.017956849534849054,0.002346174734746784,0.021331012605167708,0.007088492366264194,0.027391516635860032
480,0.47900000000000037,0.001,0.017236296677770737,0.0029879733191399403,0.01946689985508944,0.007496242341985559,0.027720512338896237
500,0.4990000000000004,0.001,0.016499233254787804,0.0034341737312211084,0.017282963571069412,0.00786256318197929,0.027795970167988203
520,0.5190000000000003,0.001,0.0157982827085174,0.00403694960623346,0.01518560281860336,0.008186135991151566,0.028021368305902426
540,0.5390000000000004,0.001,0.015179010498154939,0.004377948540157128,0.013173454277004091,0.008468384323469778,0.028025343361781845
560,0.5590000000000004,0.001,0.014677352056370604,0.004984228898025933,0.011280886555752559,0.008711763448332677,0.028373344402729216
580,0.5790000000000004,0.001,0.014321414583137092,0.00543590309081363,0.009583473394388947,0.008919141856633523,0.028676459530584245
600,0.5990000000000004,0.001,0.014127455107591424,0.005505572488722575,0.008208783553738835,0.009095860670324012,0.02872888826663801
620,0.6190000000000004,0.001,0.01410330707257118,0.005220745477671961,0.007197781506257753,0.009248956253357714,0.028573008803600856
640,0.6390000000000005,0.001,0.014240691970029494,0.004836291576703463,0.006481696410856435,0.009384773540849767,0.028461757087582723
660,0.6590000000000005,0.001,0.014520704322739894,0.0043590748490679775,0.0060976765496472355,0.009509816593869272,0.028389595765677143
680,0.6790000000000005,0.001,0.0149100404448647,0.0037926276757363777,0.0060391588037237015,0.009630671830310689,0.028333339950911765
700,0.6990000000000005,0.001,0.0153484200044703,0.003333424085260899,0.006035692447818206,0.0097513874385742,0.028433231528305396
720,0.7190000000000005,0.001,0.015784483162744663,0.0027086667515936196,0.006170789903450934,0.009873312062502504,0.028366461976840784
740,0.7390000000000005,0.001,0.016160753864078427,0.0020155658997040257,0.006367744569207333,0.009998888704978908,0.028175208468761363
760,0.7590000000000006,0.001,0.01642457306179588,0.001576054609111643,0.006515039167243147,0.01012784184832617,0.028128469519233694
780,0.7790000000000006,0.001,0.016536335775954866,0.0012702186309840255,0.006557297311873012,0.010258882119463695,0.028065436526402587
800,0.7990000000000006,0.001,0.016475720630904498,0.0011901069076236575,0.0063939385239885115,0.010388669321297167,0.02805449685982532
820,0.8190000000000006,0.001,0.016249751133026083,0.001386040278296611,0.0060933012566060304,0.010513529294037215,0.028149320705359908
840,0.8390000000000006,0.001,0.015879713394566786,0.0017001992404372494,0.005730953012019661,0.010631682459073458,0.028211595094077495
860,0.8590000000000007,0.001,0.015397755615618498,0.002160674575054897,0.0053355880670753475,0.010742188363224728,0.02830061855389812
